Adult_0,Adult_1,Adult_2,Stella_0,Stella_1,Stella_2,Wild_0,Wild_1,Wild_2,Puppy_0,Puppy_1,Puppy_2,Unknown 6
0.002740088,0.002981665,0.002595743,0.128501195,0.002498806,0.002388108,0.002755544,0.004212001,0.003280611,0.003115157,0.002872388,0.003547671,0.000652207
0.51187873,0.188092893,0.002595743,0.003819166,0.002498806,0.002388108,0.002755544,0.004212001,0.003280611,0.504142936,0.387687483,0.314366537,0.000652207
0.002740088,0.002981665,0.016423558,0.14656865,0.037390791,0.03411202,0.123333949,0.050449272,0.055028982,0.003115157,0.002872388,0.003547671,0.16941455
0.543001776,0.268274018,0.066902793,0.262192101,0.223421859,0.244546762,0.002755544,0.004212001,0.003280611,0.535471865,0.38691235,0.425415339,0.000652207
0.100119638,0.091765488,0.005088573,0.003819166,0.010016133,0.015234051,0.008419188,0.004212001,0.003280611,0.179209835,0.161347355,0.200143385,0.013516912
0.002740088,0.002981665,0.002595743,0.017332851,0.032061586,0.043695322,0.002755544,0.004212001,0.003280611,0.003115157,0.002872388,0.003547671,0.000652207
0.788470173,0.762842812,3.035603535,0.53363822,0.246991535,0.255950653,0.406740742,0.165745813,0.290051046,0.416885211,0.243369542,0.247322989,0.683354353
0.042328317,0.040001803,0.028149064,0.003819166,0.013172467,0.015602337,0.002755544,0.004212001,0.003280611,0.062468414,0.050999915,0.074217861,0.000652207
0.111232175,0.0808146,0.27790426,0.104661261,0.062051845,0.064672453,0.089029833,0.031270416,0.08383067,0.071602678,0.033431498,0.053073138,0.119485043
0.002740088,0.002981665,0.002595743,0.072072994,0.014946944,0.002388108,0.002755544,0.004212001,0.003280611,0.018523618,0.041680413,0.003547671,0.000652207
0.170841599,0.303173965,0.529659778,0.139513505,0.120741037,0.128979638,0.214221386,0.127928585,0.213105514,0.164266717,0.12726033,0.134749505,0.130125984
0.002740088,0.002981665,0.002595743,0.003819166,0.002498806,0.002388108,0.119868035,0.084830701,0.130026115,0.003115157,0.002872388,0.003547671,0.153034164
0.117523427,0.082979368,0.134987254,0.003819166,0.002498806,0.002388108,0.118268543,0.004212001,0.04228734,0.091080324,0.066661478,0.033898341,0.140517744
1,1,1,1,1,1,1,1,1,1,1,1,1
0.488014105,0.270596179,0.479528632,0.30489571,0.276102855,0.279792177,0.43834966,0.098711702,0.192739699,0.356340781,0.301665993,0.373764226,0.389855966
1.253604824,0.680594648,0.616689561,0.466867896,0.513064106,0.573468718,0.58197909,0.378181716,0.414804716,1.674414866,0.821563247,2.041367289,0.633992676
